jdb,vrad,svrad
---,----,-----
55000.003520, -0.009740, 0.000721
55000.124851, -0.009530, 0.000707
55000.989175, -0.008512, 0.000628
55001.119325, -0.008448, 0.000634
55001.242350, -0.008276, 0.000634
55001.983939, -0.008449, 0.000707
55002.232758, -0.007026, 0.000583
55002.974572, -0.006794, 0.000666
55003.112730, -0.005448, 0.000588
55003.207776, -0.006717, 0.000666
55003.234423, -0.005581, 0.000588
55004.058822, -0.005184, 0.000588
55004.141912, -0.003839, 0.000640
55004.210254, -0.004640, 0.000634
55004.967118, -0.003631, 0.000634
55005.229578, -0.003770, 0.000628
55005.978689, -0.004760, 0.000628
55006.139084, -0.003615, 0.000634
55006.225586, -0.004727, 0.000605
55006.975674, -0.005497, 0.000610
55007.077861, -0.005025, 0.000610
55007.214675, -0.005006, 0.000616
55007.970113, -0.005388, 0.000605
55008.076587, -0.006579, 0.000605
55008.213156, -0.005646, 0.000647
55008.996017, -0.007259, 0.000653
55009.090646, -0.005732, 0.000640
55009.213179, -0.007384, 0.000653
55009.972363, -0.006342, 0.000659
55011.015241, -0.005236, 0.000647
55011.097407, -0.004174, 0.000622
55011.193017, -0.005914, 0.000634
55019.059167, -0.009908, 0.000628
55019.178462, -0.012276, 0.000640
55020.030318, -0.008702, 0.000628
55020.172805, -0.008420, 0.000634
55020.973899, -0.009743, 0.000610
55021.181541, -0.008229, 0.000616
55022.963999, -0.006634, 0.000622
55023.124568, -0.006517, 0.000628
55023.945255, -0.005940, 0.000610
55024.951284, -0.006020, 0.000616
55025.104203, -0.006747, 0.000578
55025.963211, -0.007599, 0.000659
55026.108315, -0.006389, 0.000700
55026.970720, -0.007201, 0.000666
55027.114048, -0.007947, 0.000594
55027.956407, -0.007744, 0.000673
55028.117128, -0.006206, 0.001791
55028.956370, -0.008861, 0.000679
55029.100831, -0.009172, 0.000666
55029.955334, -0.007254, 0.000594
55030.098656, -0.009629, 0.000673
55030.962200, -0.008009, 0.000594
55031.073834, -0.007346, 0.000588
55031.969023, -0.005905, 0.000610
55032.068631, -0.006172, 0.000599
55032.981066, -0.003816, 0.000599
55033.043269, -0.004428, 0.000594
55033.969383, -0.002508, 0.000605
55034.084626, -0.002613, 0.000583
55034.958389, -0.003943, 0.000659
55035.054791, -0.003301, 0.000659
55035.955878, -0.003377, 0.000578
55036.059355, -0.003753, 0.000605
55036.961309, -0.003494, 0.000610
55037.047738, -0.003868, 0.000599
55052.012536, -0.007749, 0.000594
55303.177003, -0.005252, 0.000594
55303.261691, -0.005230, 0.000599
55303.336552, -0.005823, 0.000673
55318.137050, -0.005957, 0.000599
55318.225688, -0.007861, 0.000673
55318.297239, -0.005974, 0.000594
55319.256192, -0.006394, 0.000679
55319.333603, -0.006711, 0.000599
55321.099244, -0.005305, 0.000599
55321.186547, -0.006106, 0.000605
55321.294381, -0.005767, 0.000693
55322.104578, -0.006441, 0.000679
55322.174278, -0.005769, 0.000707
55322.291169, -0.006662, 0.000751
55323.102602, -0.005359, 0.000852
55323.254463, -0.004259, 0.001127
55324.103147, -0.004202, 0.001082
55324.198991, -0.003028, 0.000700
55324.285933, -0.004435, 0.001100
55325.089881, -0.003896, 0.000616
55325.168885, -0.005332, 0.000616
55325.318293, -0.004497, 0.000736
55670.254432, 0.001493, 0.000647
55670.362681, 0.001156, 0.000599
55671.211784, -0.000046, 0.000679
55671.301357, -0.000777, 0.000679
55672.263940, 0.000717, 0.000679
55672.349033, 0.001275, 0.000673
55673.182922, 0.002109, 0.000679
55673.290579, 0.002171, 0.000673
55675.215438, 0.007444, 0.000594
55675.342665, 0.006908, 0.000605
55676.243597, 0.004760, 0.000605
55676.317962, 0.007004, 0.000673
55677.216543, 0.002379, 0.000673
55677.340845, 0.002324, 0.000594
55678.285277, -0.001767, 0.000599
55678.347456, -0.000523, 0.000679
55682.206249, -0.008116, 0.000594
55682.277798, -0.010101, 0.000588
55682.344475, -0.010386, 0.000588
55683.169275, -0.008822, 0.000588
55683.290672, -0.008051, 0.000666
55684.163236, -0.007603, 0.000666
55684.281943, -0.006400, 0.000666
55685.178808, -0.005048, 0.000605
55685.275014, -0.004604, 0.000610
55686.114664, -0.002112, 0.000622
55686.136641, -0.003049, 0.000622
55686.151259, -0.003606, 0.000610
55688.101537, 0.001157, 0.000605
55688.326623, 0.000893, 0.000599
55690.251398, -0.000742, 0.000673
55691.254104, -0.002065, 0.000583
55691.336972, -0.002157, 0.000594
55692.113709, -0.000912, 0.000594
55692.304308, -0.000242, 0.000588
55693.149843, 0.002211, 0.000594
55693.327943, 0.002012, 0.000594
55694.105439, 0.005819, 0.000594
55694.333465, 0.006319, 0.000634
55696.090221, 0.007811, 0.000700
55697.071984, 0.004860, 0.000622
55697.230440, 0.006534, 0.000634
55699.213212, 0.006096, 0.000628
55699.311081, 0.004433, 0.000640
55700.117629, 0.002642, 0.000588
55700.137805, 0.003459, 0.000588
55700.160105, 0.003945, 0.000583
55700.181597, 0.003655, 0.000659
55700.202614, 0.003361, 0.000588
55700.223728, 0.004243, 0.000583
55700.246446, 0.002278, 0.000640
55700.257785, 0.005494, 0.000640
55702.077879, 0.000709, 0.000640
55702.204217, -0.000841, 0.000647
55703.083571, -0.000469, 0.000647
55703.223112, -0.000214, 0.000647
55704.054649, 0.000620, 0.000666
55704.223242, 0.002036, 0.000673
55705.046460, -0.000138, 0.000588
55705.182956, 0.001523, 0.000605
55706.212813, 0.002719, 0.000673
55706.293428, -0.000893, 0.000605
55707.042920, -0.000595, 0.000594
55707.297067, -0.001252, 0.000594
55708.048288, -0.000771, 0.000583
55708.300404, -0.002088, 0.000588
55709.037120, -0.003283, 0.000666
55709.276876, -0.004249, 0.000588
55710.042488, -0.002889, 0.000594
55710.293507, -0.004880, 0.000588
55711.052635, -0.003062, 0.000588
55711.275552, -0.001585, 0.000588
55712.062588, -0.000141, 0.000583
